level,type,hp,pos,isSpawn
1,[0],"[2,4]",[2],[1]
2,[0],"[3,5]",[3],
3,"[0,0]","[3,5][3,5]","[1,3]",
4,"[0,0]","[3,5][3,5]","[0,3]",
5,"[0,0]","[3,5][3,5]","[1,4]",
6,"[0,0]","[3,5][3,5]","[2,4]",[1]
7,[1],"[6,9]",[2],[1]
8,"[1,1]","[6,7][6,8]","[1,3]",
9,"[0,1,0]","[2,3][6,9][2,4]","[0,2,4]",
10,[1],"[6,8]",[3],
11,"[0,0]","[3,4][3,4]","[1,2]",
12,"[0,0]","[3,5][3,5]","[1,3]",[1]
13,[2],"[20,23]",[2],
14,"[0,0]","[3,5][3,5]","[0,4]",
15,"[1,2]","[6,9][20,23]","[1,3]",
16,"[1,1,1]","[6,9][6,9][6,9]","[0,2,4]",
17,"[0,0]","[3,5][3,5]","[1,3]",[1]
18,"[1,1]","[6,9][6,9]","[1,3]",
19,"[0,1,1,1,1]","[1,2][5,6][5,6][5,6][5,6]","[0,1,2,3,4]",
20,"[1,0,1]","[6,9][3,5][6,9]","[0,2,4]",[1]
21,"[0,2,0]","[3,4][21,23][3,4]","[1,2,3]",
22,"[0,0]","[1,4][1,4]","[0,4]",
23,[1],"[6,9]",[4],
24,"[0,0]","[3,5][3,4]","[2,3]",
25,"[0,0]","[1,4][3,5]","[0,4]",
26,"[0,4,0]","[2,4][1,4][2,4]","[1,2,3]",
27,"[1,1]","[6,9][6,9]","[0,2]",
28,"[1,1,4]","[6,9][6,9][1,4]","[0,2,3]",
29,"[0,0,0]","[2,5][2,4][2,5]","[1,2,3]",
30,"[4,0]","[1,4][3,5]","[0,1]",
31,[1],"[6,7]",[4],[1]
32,"[0,0]","[2,5][2,4]","[3,4]",
33,[5],"[6,9]",[0],
34,"[1,5,1]","[6,9][6,8][6,9]","[1,3,4]",
35,[4],"[2,4]",[2],
36,"[0,0]","[2,5][2,4]","[2,3]",
37,[5],"[6,7]",[1],
38,"[0,2]","[2,5][6,8]","[0,2]",
39,[3],"[10,10]",[2],
40,"[0,0]","[2,4][2,4]","[1,3]",
41,"[1,0]","[6,7][1,4]","[1,4]",
42,[3],"[9,11]",[3],[1]
43,"[3,0]","[9,11][2,4]","[1,4]",
44,"[1,1]","[6,9][6,7]","[0,3]",
45,[0],"[3,5]",[1],
46,"[0,0]","[3,5][3,5]","[1,3]",
47,"[0,0,0,0,0]","[2,4][2,4][2,4][2,4][2,4]","[0,1,2,3,4]",
48,"[0,3]","[3,5][9,11]","[0,3]",
49,"[3,0]","[8,11][2,4]","[1,4]",
50,[0],"[2,4]",[2],
51,"[0,3,0]","[2,4][10,11][2,4]","[0,2,4]",
52,"[0,4]","[4,5][3,5]","[1,3]",
53,"[4,4]","[2,4][2,4]","[0,4]",
54,[0],"[3,5]",[3],
55,"[0,5,0]","[2,4][6,9][2,4]","[0,2,4]",
56,"[0,0]","[2,4][2,5][2,4]","[1,2,3]",
57,"[2,2]","[20,22][20,23]","[1,3]",
58,"[1,1,1]","[6,9][6,9][6,9]","[1,2,3]",
59,,,,
60,"[5,2,1]","[6,9][20,21][6,9]","[1,2,3]",
61,"[1,1]","[6,9][6,9]","[0,4]",
62,"[3,3]","[10,10][10,12]","[1,3]",
63,[1],"[6,9]",[2],
64,"[4,0,0,0,4]","[4,4][4,4][1,2][4,4][4,4]","[0,1,2,3,4]",
65,"[0,0]","[1,4][1,4]","[1,3]",
66,"[0,0,0,0,0]","[1,2][4,4][4,4][4,4][4,4]","[0,1,2,3,4]",
67,"[0,0]","[2,5][2,4]","[3,4]",
68,[0],"[2,5]",[0],
69,"[5,5]","[6,9][6,9]","[1,2]",
70,"[5,0,0,0,5]","[4,9][2,4][1,2][2,4][4,9]","[0,1,2,3,4]",
71,"[1,1,1]","[6,9][6,9][6,9]","[1,2,3]",
72,"[0,3]","[3,5][9,11]","[0,3]",
73,"[3,0]","[8,11][2,4]","[1,4]",
74,[0],"[2,4]",[2],
75,"[0,3,0]","[2,4][10,11][2,4]","[0,2,4]",
76,"[0,0]","[4,5][3,5]","[1,3]",
77,"[5,5]","[6,9][6,9]","[0,4]",
78,[0],"[3,5]",[3],
79,"[5,0,0,0,5]","[4,9][2,4][1,2][2,4][4,9]","[0,1,2,3,4]",
80,"[1,0]","[6,9][3,5]","[1,3]",
81,"[0,0]","[3,5][3,5]","[0,3]",
82,"[5,5]","[3,5][3,5]","[1,4]",
83,,,,
84,[1],"[20,23]",[2],
85,"[5,5]","[6,7][6,8]","[1,3]",
86,"[0,2,0]","[2,3][20,23][2,4]","[0,2,4]",
87,[1],"[6,8]",[3],
88,"[0,0]","[3,4][3,4]","[1,2]",
89,"[1,1]","[6,9][6,9]","[1,3]",
90,[2],"[20,23]",[2],
91,"[0,0]","[3,5][3,5]","[0,4]",
92,"[5,5,5,5,5]","[6,9][6,9][6,9][6,9][6,9]","[0,1,2,3,4]",
93,,,,
94,"[5,5,5,5,5]","[6,9][6,9][6,9][6,9][6,9]","[0,1,2,3,4]",
95,"[0,0]","[3,5][3,5]","[0,4]",
96,"[5,5,5,5,5]","[6,9][6,9][6,9][6,9][6,9]","[0,1,2,3,4]",
97,,,,
98,"[5,5,5,5,5]","[6,9][6,9][6,9][6,9][6,9]","[0,1,2,3,4]",
99,,,,
100,"[5,5,5,5,5]","[6,9][6,9][6,9][6,9][6,9]","[0,1,2,3,4]",
101,,,,
102,"[5,5,5,5,5]","[6,9][6,9][6,9][6,9][6,9]","[0,1,2,3,4]",
103,,,,
