level,type,hp,pos,isSpawn,flag
1,[0],"[2,4]",[2],,
2,,,,[1],
3,[3],"[3,5]",[3],,
4,"[4,0]","[3,5][3,5]","[1,3]",,
5,"[0,0]","[3,5][3,5]","[0,3]",,
6,"[0,0]","[3,5][3,5]","[1,4]",,[1]
7,"[0,0]","[3,5][3,5]","[2,4]",[1],
8,[1],"[6,9]",[2],[1],
9,"[1,1]","[6,7][6,8]","[1,3]",,
10,"[0,1,0]","[2,3][6,9][2,4]","[0,2,4]",,
11,[1],"[6,8]",[3],,
12,"[0,0]","[3,4][3,4]","[1,2]",,
13,"[0,0]","[3,5][3,5]","[1,3]",[1],
14,[2],"[20,23]",[2],,
15,"[0,0]","[3,5][3,5]","[0,4]",,
16,"[1,2]","[6,9][20,23]","[1,3]",,
17,"[1,1,1]","[6,9][6,9][6,9]","[0,2,4]",,
18,"[0,0]","[3,5][3,5]","[1,3]",[1],
19,"[1,1]","[6,9][6,9]","[1,3]",,
20,"[0,1,1,1,1]","[1,2][5,6][5,6][5,6][5,6]","[0,1,2,3,4]",,
21,"[1,0,1]","[6,9][3,5][6,9]","[0,2,4]",[1],
22,"[0,2,0]","[3,4][21,23][3,4]","[1,2,3]",,
23,"[0,0]","[1,4][1,4]","[0,4]",,[1]
24,[1],"[6,9]",[4],,
25,"[0,0]","[3,5][3,4]","[2,3]",,
26,"[0,0]","[1,4][3,5]","[0,4]",,
27,"[0,4,0]","[2,4][1,4][2,4]","[1,2,3]",,
28,"[1,1]","[6,9][6,9]","[0,2]",,
29,"[1,1,4]","[6,9][6,9][1,4]","[0,2,3]",,
30,"[0,0,0]","[2,5][2,4][2,5]","[1,2,3]",,
31,"[4,0]","[1,4][3,5]","[0,1]",,[1]
32,[1],"[6,7]",[4],[1],
33,"[0,0]","[2,5][2,4]","[3,4]",,
34,[5],"[6,9]",[0],,
35,"[1,5,1]","[6,9][6,8][6,9]","[1,3,4]",,
36,[4],"[2,4]",[2],,
37,"[0,0]","[2,5][2,4]","[2,3]",,
38,[5],"[6,7]",[1],,
39,"[0,2]","[2,5][6,8]","[0,2]",,
40,[3],"[10,10]",[2],,
41,"[0,0]","[2,4][2,4]","[1,3]",,
42,"[1,0]","[6,7][1,4]","[1,4]",,
43,[3],"[9,11]",[3],[1],
44,"[3,0]","[9,11][2,4]","[1,4]",,
45,"[1,1]","[6,9][6,7]","[0,3]",,
46,[0],"[3,5]",[1],,
47,"[0,0]","[3,5][3,5]","[1,3]",,
48,"[0,0,0,0,0]","[2,4][2,4][2,4][2,4][2,4]","[0,1,2,3,4]",,
49,"[0,3]","[3,5][9,11]","[0,3]",,
50,"[3,0]","[8,11][2,4]","[1,4]",,
51,[0],"[2,4]",[2],,
52,"[0,3,0]","[2,4][10,11][2,4]","[0,2,4]",,
53,"[0,4]","[4,5][3,5]","[1,3]",,
54,"[4,4]","[2,4][2,4]","[0,4]",,[1]
55,[0],"[3,5]",[3],,
56,"[0,5,0]","[2,4][6,9][2,4]","[0,2,4]",,
57,"[0,0]","[2,4][2,5][2,4]","[1,2,3]",,
58,"[2,2]","[20,22][20,23]","[1,3]",,
59,"[1,1,1]","[6,9][6,9][6,9]","[1,2,3]",[1],
60,,,,,
61,"[5,2,1]","[6,9][20,21][6,9]","[1,2,3]",,
62,"[1,1]","[6,9][6,9]","[0,4]",,
63,"[3,3]","[10,10][10,12]","[1,3]",,
64,[1],"[6,9]",[2],,
65,"[4,0,0,0,4]","[4,4][4,4][1,2][4,4][4,4]","[0,1,2,3,4]",,
66,"[0,0]","[1,4][1,4]","[1,3]",[1],[1]
67,"[0,0,0,0,0]","[1,2][4,4][4,4][4,4][4,4]","[0,1,2,3,4]",,
68,"[0,0]","[2,5][2,4]","[3,4]",,
69,[0],"[2,5]",[0],,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
